[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events?resource_type=MAS "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events?audit_type=RESOURCE_DELETED "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events?resource_type=NOPE "HTTP/1.1 400 Bad Request"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events/ff5b906e-fbd9-48f7-9c3f-9085f6c3e58f "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events/00000000-0000-0000-0000-000000000099 "HTTP/1.1 404 Not Found"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: DELETE http://test/api/internal/audit-events/72c38e5b-60fd-4770-b778-0d0aecf75159 "HTTP/1.1 204 No Content"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events/72c38e5b-60fd-4770-b778-0d0aecf75159 "HTTP/1.1 404 Not Found"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: DELETE http://test/api/internal/audit-events/00000000-0000-0000-0000-000000000099 "HTTP/1.1 404 Not Found"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [app.routes.cfn_proxy] [INFO] upsert_shared_memories workspace=ws1 mas=mas1 -> http://localhost:9003/api/knowledge/graphs
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://localhost:9003/api/knowledge/graphs "HTTP/1.1 201 Created"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/shared-memories "HTTP/1.1 201 Created"
[2026-03-05 11:48:12] [app.routes.cfn_proxy] [INFO] upsert_shared_memories workspace=ws1 mas=mas1 -> http://localhost:9003/api/knowledge/graphs
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://localhost:9003/api/knowledge/graphs "HTTP/1.1 500 Internal Server Error"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/shared-memories "HTTP/1.1 500 Internal Server Error"
[2026-03-05 11:48:12] [app.routes.cfn_proxy] [INFO] fetch_shared_memories workspace=ws1 mas=mas1 type=path -> http://localhost:9003/api/knowledge/graphs/query
